Rk,G,Season,Age,Tm,Opp,W/L,GS,MP,MP1,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
13,13,16-17,28-250,GSW,MIL,W (+3),1,34.41,34:41,7,21,0.333,1,11,0.091,5,5,1,0,5,5,5,1,0,3,4,20,9.5,1
14,14,16-17,28-252,GSW,IND,W (+37),1,29.30,29:30,6,11,0.545,2,6,0.333,8,8,1,2,4,6,6,1,0,1,1,22,23.1,34
15,15,16-17,28-254,GSW,LAL,W (+43),1,28.45,28:45,11,18,0.611,7,12,0.583,2,2,1,0,5,5,9,1,0,1,1,31,30.2,32
16,16,16-17,28-256,GSW,LAL,W (+24),1,35.36,35:36,8,17,0.471,4,10,0.4,4,4,1,2,3,5,5,3,0,3,1,24,20.7,14
17,17,16-17,28-257,GSW,MIN,W (+13),1,37.10,37:10,13,19,0.684,4,8,0.5,4,4,1,1,7,8,6,1,0,6,4,34,26.3,16
18,18,16-17,28-259,GSW,ATL,W (+5),1,38.14,38:14,6,17,0.353,4,11,0.364,9,11,0.818,0,3,3,3,2,0,3,2,25,15.9,6
19,19,16-17,28-262,GSW,HOU,L (-5),1,38.23,38:23,9,22,0.409,4,13,0.308,6,6,1,1,2,3,5,3,1,5,6,28,17.3,10
20,20,16-17,28-264,GSW,PHO,W (+29),1,29.50,29:50,10,15,0.667,5,7,0.714,6,6,1,0,2,2,1,1,0,3,2,31,23,15
21,21,16-17,28-266,GSW,IND,W (+36),1,29.09,29:09,4,10,0.4,2,7,0.286,3,4,0.75,0,4,4,11,2,1,0,4,13,17.2,24
22,22,16-17,28-268,GSW,LAC,W (+17),1,33.17,33:17,7,16,0.438,0,8,0,5,5,1,0,4,4,6,7,0,3,3,19,18.8,18
23,23,16-17,28-269,GSW,UTA,W (+7),1,35.34,35:34,7,16,0.438,3,9,0.333,9,9,1,0,5,5,2,2,0,3,2,26,18.7,10
24,24,16-17,28-271,GSW,MEM,L (-21),1,30.35,30:35,4,14,0.286,3,11,0.273,6,6,1,2,6,8,3,0,0,4,3,17,8.9,-24
25,25,16-17,28-272,GSW,MIN,W (+8),1,31.35,31:35,6,13,0.462,2,5,0.4,8,8,1,1,3,4,9,1,0,0,3,22,23,-6
26,26,16-17,28-274,GSW,NOP,W (+4),1,34.07,34:07,11,23,0.478,5,9,0.556,3,4,0.75,2,2,4,7,1,0,2,2,30,23,4
27,27,16-17,28-276,GSW,NYK,W (+13),1,33.49,33:49,3,14,0.214,2,8,0.25,0,0,,1,9,10,8,1,0,3,0,8,6.4,20
28,28,16-17,28-278,GSW,POR,W (+45),1,27.14,27:14,6,11,0.545,5,8,0.625,2,2,1,0,3,3,6,0,0,3,3,19,14.6,21
29,29,16-17,28-281,GSW,UTA,W (+30),1,30.13,30:13,8,18,0.444,4,9,0.444,5,5,1,0,3,3,4,3,0,0,0,25,22.3,27
30,30,16-17,28-283,GSW,BRK,W (+16),1,32.58,32:58,6,19,0.316,3,13,0.231,0,0,,0,2,2,7,5,0,2,5,15,10.6,25
31,31,16-17,28-284,GSW,DET,W (+6),1,35.00,35:00,7,16,0.438,5,10,0.5,6,6,1,0,3,3,8,2,0,5,1,25,19.7,6
32,32,16-17,28-286,GSW,CLE,L (-1),1,37.20,37:20,4,11,0.364,2,7,0.286,5,6,0.833,0,3,3,3,3,0,3,4,15,9.9,-1
33,33,16-17,28-289,GSW,TOR,W (+10),1,36.19,36:19,9,18,0.5,3,6,0.5,7,7,1,1,6,7,7,0,0,2,3,28,23.2,27
34,34,16-17,28-291,GSW,DAL,W (+9),1,30.08,30:08,5,12,0.417,3,6,0.5,1,1,1,0,4,4,5,1,0,1,2,14,11.5,14
35,35,16-17,28-294,GSW,DEN,W (+8),1,35.03,35:03,8,18,0.444,3,9,0.333,3,3,1,0,3,3,5,0,0,3,2,22,13.2,7
36,36,16-17,28-296,GSW,POR,W (+8),1,35.54,35:54,12,25,0.48,5,13,0.385,6,8,0.75,1,6,7,5,1,0,5,1,35,23.1,6
37,37,16-17,28-298,GSW,MEM,L (-9),1,42.13,42:13,15,27,0.556,5,13,0.385,5,5,1,0,3,3,6,1,1,4,2,40,29.1,-10
38,38,16-17,28-300,GSW,SAC,W (+11),1,37.06,37:06,11,22,0.5,5,11,0.455,3,3,1,2,2,4,6,2,0,4,3,30,22,14
39,39,16-17,28-302,GSW,MIA,W (+12),1,35.43,35:43,8,21,0.381,4,11,0.364,4,5,0.8,1,7,8,9,1,1,3,0,24,19.9,18
40,40,16-17,28-304,GSW,DET,W (+20),1,29.51,29:51,9,17,0.529,3,9,0.333,3,3,1,0,2,2,7,5,0,8,0,24,18.2,32
41,41,16-17,28-308,GSW,CLE,W (+35),1,30.55,30:55,7,20,0.35,5,12,0.417,1,2,0.5,0,2,2,11,4,0,3,2,20,16.9,23
42,42,16-17,28-310,GSW,OKC,W (+21),1,34.11,34:11,9,19,0.474,2,6,0.333,4,4,1,0,4,4,8,3,0,3,0,24,21.1,19
43,43,16-17,28-312,GSW,HOU,W (+17),1,32.57,32:57,8,18,0.444,5,11,0.455,3,5,0.6,0,1,1,7,1,0,1,1,24,18.6,15
44,44,16-17,28-314,GSW,ORL,W (+20),1,29.33,29:33,8,15,0.533,7,13,0.538,4,4,1,1,3,4,6,0,0,3,2,27,21.7,32
45,45,16-17,28-315,GSW,MIA,L (-3),1,36.31,36:31,7,19,0.368,3,9,0.333,4,5,0.8,0,9,9,8,0,1,4,2,21,14.3,1
46,46,16-17,28-317,GSW,CHO,W (+10),1,36.16,36:16,11,23,0.478,6,12,0.5,0,0,,0,2,2,7,1,1,4,2,28,18.7,0
47,47,16-17,28-320,GSW,LAC,W (+46),1,28.57,28:57,15,23,0.652,9,15,0.6,4,4,1,0,9,9,6,0,0,2,1,43,37.4,42
48,,16-17,28-321,GSW,POR,W (+2),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
49,48,16-17,28-324,GSW,CHO,W (+15),1,30.16,30:16,14,20,0.7,11,15,0.733,0,0,,1,4,5,8,3,0,1,2,39,39.3,25
50,49,16-17,28-325,GSW,LAC,W (+13),1,37.26,37:26,11,23,0.478,3,10,0.3,4,4,1,1,2,3,11,3,0,4,1,29,24.9,13
