Rk,Player,Season,Age,Tm,Lg,3P%,3PA,TS%,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,eFG%,FT%
48,Kevin Durant,2014-15,26,OKC,NBA,0.403,159,0.633,27,27,913,13.1,25.6,9.6,16.9,3.5,8.7,8,9.4,0.9,8.9,9.8,6,1.3,1.4,4.1,2.2,37.7,0.51,0.565,0.578,0.854
49,J.J. Redick,2015-16,31,LAC,NBA,0.475,421,0.632,75,75,2097,10.1,21,5.3,11,4.8,10.1,4.3,4.9,0.2,3.1,3.3,2.5,1,0.1,1.9,3.2,29.3,0.48,0.484,0.593,0.888
50,Terry Porter,1990-91,27,POR,NBA,0.415,313,0.632,81,81,2665,8.7,16.9,6.4,11.3,2.3,5.6,5,6.1,0.9,4.1,5.1,11.6,2.8,0.2,3.4,2.7,24.7,0.515,0.564,0.584,0.823
51,Steve Nash,2005-06,31,PHO,NBA,0.439,342,0.632,79,79,2796,9.7,18.9,7,12.8,2.7,6.1,4.6,5,0.8,5.1,6,14.8,1.1,0.2,4.9,2.1,26.7,0.512,0.548,0.583,0.921
52,Dana Barros,1994-95,27,PHI,NBA,0.464,425,0.632,82,82,3318,9.1,18.5,5.9,11.8,3.1,6.8,5.5,6.1,0.4,3.9,4.4,9.8,2.4,0.1,3.8,2.5,26.8,0.49,0.505,0.575,0.899
53,Kevin Johnson,1996-97,30,PHO,NBA,0.441,202,0.631,70,70,2658,8.5,17.2,6.8,13.3,1.7,3.9,8.5,10,1,3.9,4.9,12.7,2,0.2,4.2,2.7,27.3,0.496,0.512,0.546,0.852
54,Meyers Leonard,2014-15,22,POR,NBA,0.42,112,0.631,55,7,847,7.5,14.7,4.7,8,2.8,6.7,1.8,1.9,2.8,12.3,15,1.9,0.6,0.8,2.3,6.8,19.7,0.51,0.586,0.606,0.938
55,Jim Les,1990-91,27,SAC,NBA,0.461,154,0.63,55,8,1399,4.3,9.7,1.7,4.1,2.6,5.6,3.1,3.7,0.7,3.4,4,10.8,2.1,0.1,2.7,5.1,14.3,0.444,0.421,0.576,0.835
56,Daequan Cook,2010-11,23,OKC,NBA,0.422,154,0.63,43,0,598,6.8,15.7,1.2,2.3,5.6,13.3,1.4,1.7,0.7,5.5,6.2,1.7,1.2,0.1,1.5,4.4,20.7,0.436,0.519,0.616,0.8
57,James Jones,2010-11,30,MIA,NBA,0.429,287,0.629,81,8,1549,5,11.8,0.8,2,4.2,9.8,2,2.5,0.8,4.7,5.5,1.5,1,0.6,0.7,4.4,16.2,0.422,0.39,0.6,0.833
58,Otto Porter,2016-17,23,WAS,NBA,0.434,341,0.628,80,80,2605,7.8,15.2,5,8.7,2.8,6.5,1.9,2.3,2.2,7.5,9.7,2.3,2.2,0.8,0.8,3.7,20.3,0.516,0.576,0.608,0.832
59,Brandon Rush,2011-12,26,GSW,NBA,0.452,219,0.628,65,1,1717,7.1,14.2,4.1,7.6,3,6.6,2,2.5,1,6.6,7.6,2.7,1.1,1.8,2.1,1.9,19.2,0.501,0.544,0.607,0.793
60,Brian Cardinal,2003-04,26,GSW,NBA,0.444,124,0.626,76,11,1634,7.2,15.2,5.4,11.2,1.8,4.1,7.8,8.9,3.3,7.1,10.4,3.4,2.2,0.7,2.7,6.7,24,0.472,0.482,0.531,0.878
61,Walter Herrmann,2006-07,27,CHA,NBA,0.461,115,0.625,48,12,936,9.7,18.4,6.7,12,3,6.4,2.3,3,1.6,6.2,7.7,1.4,0.9,0.4,1.8,4.2,24.6,0.527,0.563,0.608,0.774
62,James Jones,2007-08,27,POR,NBA,0.444,205,0.625,58,3,1276,6.1,14,2.2,5.2,3.9,8.8,3.7,4.2,1.8,5,6.9,1.5,1,0.6,1.2,4.1,19.8,0.437,0.426,0.576,0.878
